"Bedrijven; bedrijfstak"
"Perioden: 2017 4e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1648230";"1249350";"179270";"90155";"63400";"32070";"19550";"6840";"1258210";"390020"
"Totaal (ex. financieel of nutsbedrijven)";"1556245";"1169250";"172820";"87905";"61805";"31330";"19105";"6695";"1250165";"306080"
"A Landbouw, bosbouw en visserij";"73845";"35950";"21765";"10920";"3265";"1240";"545";"100";"67795";"6050"
"B-E Nijverheid (geen bouw) en energie";"65825";"40530";"7165";"4405";"4865";"3495";"2770";"1260";"44350";"21475"
"B Delfstoffenwinning";"425";"280";"35";"20";"20";"20";"15";"15";"180";"245"
"C Industrie";"62660";"38540";"6865";"4195";"4650";"3355";"2635";"1190";"43045";"19615"
"D Energievoorziening";"1060";"720";"130";"75";"50";"20";"25";"10";"350";"710"
"E Waterbedrijven en afvalbeheer";"1685";"990";"135";"110";"145";"100";"100";"45";"780";"905"
"F Bouwnijverheid";"162530";"132860";"13975";"6035";"4640";"2665";"1535";"495";"141870";"20660"
"G-I Handel, vervoer en horeca";"324010";"183545";"58530";"33700";"25295";"12175";"7025";"2085";"246790";"77220"
"G Handel";"228125";"135890";"39760";"22515";"15765";"7265";"4480";"1385";"169775";"58350"
"H Vervoer en opslag";"40760";"25585";"6100";"3085";"2430";"1465";"1225";"450";"31395";"9365"
"I Horeca";"55120";"22075";"12670";"8100";"7100";"3440";"1320";"250";"45620";"9505"
"J Informatie en communicatie";"87760";"71365";"7685";"2980";"2415";"1545";"1120";"350";"66075";"21690"
"K Financiële dienstverlening";"89215";"78370";"6185";"2065";"1400";"615";"325";"95";"6895";"82315"
"L Verhuur en handel van onroerend goed";"25925";"18130";"4010";"2075";"940";"365";"225";"95";"11395";"14530"
"M-N Zakelijke dienstverlening";"394370";"328680";"31405";"12860";"9990";"5290";"3510";"1295";"303460";"90910"
"M Specialistische zakelijke diensten";"325540";"279790";"23650";"9060";"6810";"3400";"1845";"540";"250740";"74800"
"N Verhuur en overige zakelijke diensten";"68835";"48890";"7755";"3805";"3180";"1885";"1665";"760";"52720";"16115"
"O-Q Overheid en zorg";"223560";"185900";"15040";"8400";"6595";"3110";"1595";"785";"197475";"26085"
"O Openbaar bestuur en overheidsdiensten";"790";"170";"5";"5";"35";"30";"35";"95";"85";"700"
"P Onderwijs";"77825";"68640";"5165";"1260";"720";"560";"425";"280";"71870";"5955"
"Q Gezondheids- en welzijnszorg";"144945";"117090";"9870";"7135";"5840";"2520";"1130";"410";"125520";"19430"
"R-U Cultuur, recreatie, overige diensten";"201185";"174015";"13510";"6720";"3995";"1575";"900";"280";"172105";"29085"
"R Cultuur, sport en recreatie";"101320";"89180";"6430";"2640";"1575";"755";"495";"140";"86190";"15125"
"S Overige dienstverlening";"99845";"84815";"7075";"4075";"2415";"820";"405";"140";"85895";"13950"
"T Huishoudens";"20";"15";"5";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5"
"Bron: CBS"
