"Bedrijven; bedrijfstak"
"Perioden: 2019 2e kwartaal**"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1772960";"1367265";"183775";"89355";"64990";"32635";"20030";"7055";"1357860";"415100"
"Totaal (ex. financieel of nutsbedrijven)";"1674475";"1280665";"177395";"87080";"63380";"31870";"19590";"6890";"1349300";"325175"
"A Landbouw, bosbouw en visserij";"74325";"36785";"21435";"10965";"3380";"1080";"540";"90";"67720";"6605"
"B-E Nijverheid (geen bouw) en energie";"70795";"45175";"7435";"4490";"4780";"3485";"2780";"1270";"47375";"23420"
"B Delfstoffenwinning";"450";"310";"25";"25";"20";"20";"15";"15";"190";"260"
"C Industrie";"67055";"42620";"7125";"4275";"4570";"3345";"2650";"1195";"45770";"21285"
"D Energievoorziening";"1345";"1000";"145";"70";"45";"25";"20";"10";"415";"930"
"E Waterbedrijven en afvalbeheer";"1950";"1245";"135";"120";"145";"95";"100";"50";"1000";"950"
"F Bouwnijverheid";"181270";"150515";"14755";"5970";"4790";"2745";"1620";"520";"159465";"21810"
"G-I Handel, vervoer en horeca";"336185";"195065";"59465";"32765";"25685";"12165";"7095";"2155";"255885";"80300"
"G Handel";"232125";"139985";"40005";"21905";"15880";"7200";"4560";"1465";"171870";"60255"
"H Vervoer en opslag";"45590";"30180";"6575";"2870";"2290";"1515";"1240";"440";"35745";"9845"
"I Horeca";"58470";"24895";"12885";"7985";"7515";"3450";"1300";"250";"48275";"10195"
"J Informatie en communicatie";"94515";"77480";"7885";"3050";"2550";"1670";"1160";"405";"70830";"23685"
"K Financiële dienstverlening";"95035";"84310";"6080";"2060";"1390";"625";"315";"100";"7125";"87910"
"L Verhuur en handel van onroerend goed";"27575";"19590";"4185";"2090";"935";"375";"225";"100";"12190";"15385"
"M-N Zakelijke dienstverlening";"427405";"360015";"32510";"12640";"10225";"5640";"3665";"1345";"330825";"96580"
"M Specialistische zakelijke diensten";"351365";"304760";"24280";"8715";"6975";"3640";"1945";"580";"271945";"79420"
"N Verhuur en overige zakelijke diensten";"76040";"55255";"8230";"3925";"3250";"2000";"1715";"765";"58880";"17160"
"O-Q Overheid en zorg";"249610";"210455";"15705";"8425";"7135";"3240";"1715";"775";"222340";"27270"
"O Openbaar bestuur en overheidsdiensten";"795";"190";"5";"10";"35";"30";"30";"75";"115";"685"
"P Onderwijs";"89420";"79710";"5625";"1315";"735";"565";"440";"265";"83110";"6310"
"Q Gezondheids- en welzijnszorg";"159395";"130555";"10075";"7100";"6360";"2645";"1250";"440";"139115";"20275"
"R-U Cultuur, recreatie, overige diensten";"216245";"187885";"14320";"6905";"4125";"1605";"915";"290";"184105";"32140"
"R Cultuur, sport en recreatie";"109670";"97255";"6695";"2620";"1590";"765";"505";"140";"93750";"15915"
"S Overige dienstverlening";"106420";"90585";"7610";"4260";"2500";"820";"400";"150";"90335";"16080"
"T Huishoudens";"20";"20";"0";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"135";"30";"15";"25";"30";"20";"10";"0";"0";"135"
"Bron: CBS"
