Perioden: 2007 1e kwartaal;;Absolute;Relative
G Handel;190785;;
Perioden: 2007 2e kwartaal;;3185;1,67%
G Handel;193970;;
Perioden: 2007 3e kwartaal;;2980;1,54%
G Handel;196950;;
Perioden: 2007 4e kwartaal;;2670;1,36%
G Handel;199620;;
Perioden: 2008 1e kwartaal;;1965;0,98%
G Handel;201585;;
Perioden: 2008 2e kwartaal;;-/-1115;-0,55%
G Handel;200470;;
Perioden: 2008 3e kwartaal;;1510;0,75%
G Handel;201980;;
Perioden: 2008 4e kwartaal;;2310;1,12%
G Handel;204290;;
Perioden: 2009 1e kwartaal;;2195;1,07%
G Handel;206485;;
Perioden: 2009 2e kwartaal;;-/-2115;-1,02%
G Handel;204370;;
Perioden: 2009 3e kwartaal;;1110;0,54%
G Handel;205480;;
Perioden: 2009 4e kwartaal;;545;0,27%
G Handel;206025;;
Perioden: 2010 1e kwartaal;;-/-455;-0,22%
G Handel;205570;;
Perioden: 2010 2e kwartaal;;175;0,09%
G Handel;205745;;
Perioden: 2010 3e kwartaal;;195;0,09%
G Handel;205940;;
Perioden: 2010 4e kwartaal;;1925;0,93%
G Handel;207865;;
Perioden: 2011 1e kwartaal;;1545;0,74%
G Handel;209410;;
Perioden: 2011 2e kwartaal;;-/-940;-0,45%
G Handel;208470;;
Perioden: 2011 3e kwartaal;;1845;0,89%
G Handel;210315;;
Perioden: 2011 4e kwartaal;;695;0,33%
G Handel;211010;;
Perioden: 2012 1e kwartaal;;2425;1,15%
G Handel;213435;;
Perioden: 2012 2e kwartaal;;-/-1120;-0,52%
G Handel;212315;;
Perioden: 2012 3e kwartaal;;40;0,02%
G Handel;212355;;
Perioden: 2012 4e kwartaal;;390;0,18%
G Handel;212745;;
Perioden: 2013 1e kwartaal;;-/-735;-0,35%
G Handel;212010;;
Perioden: 2013 2e kwartaal;;-/-1055;-0,50
G Handel;210955;;
Perioden: 2013 3e kwartaal;;860;0,41%
G Handel;211815;;
Perioden: 2013 4e kwartaal;;175;0,08%
G Handel;211990;;
Perioden: 2014 1e kwartaal;;-/-690;-0,33%
G Handel;211300;;
Perioden: 2014 2e kwartaal;;1735;0,82%
G Handel;213035;;
Perioden: 2014 3e kwartaal;;1670;0,78%
G Handel;214705;;
Perioden: 2014 4e kwartaal;;2585;1,20%
G Handel;217290;;
Perioden: 2015 1e kwartaal;;1545;0,71%
G Handel;218835;;
Perioden: 2015 2e kwartaal;;575;0,26%
G Handel;219410;;
Perioden: 2015 3e kwartaal;;2195;1,00%
G Handel;221605;;
Perioden: 2015 4e kwartaal;;1765;0,80%
G Handel;223370;;
Perioden: 2016 1e kwartaal;;395;0,18%
G Handel;223765;;
Perioden: 2016 2e kwartaal;;-/-35;-0,02%
G Handel;223730;;
Perioden: 2016 3e kwartaal;;1330;0,59%
G Handel;225060;;
Perioden: 2016 4e kwartaal;;240;0,11%
G Handel;225300;;
Perioden: 2017 1e kwartaal;;-/-1155;-0,51%
G Handel;224145;;
Perioden: 2017 2e kwartaal;;1000;0,44%
G Handel;225145;;
Perioden: 2017 3e kwartaal;;1575;0,70%
G Handel;226720;;
Perioden: 2017 4e kwartaal;;1405;0,62%
G Handel;228125;;
Perioden: 2018 1e kwartaal;;540;0,24%
G Handel;228665;;
Perioden: 2018 2e kwartaal;;-/-1085;-0,47%
G Handel;227580;;
Perioden: 2018 3e kwartaal;;1105;0,49%
G Handel;228685;;
Perioden: 2018 4e kwartaal;;1300;0,57%
G Handel;229985;;
Perioden: 2019 1e kwartaal**;;2295;1,00%
G Handel;232280;;
Perioden: 2019 2e kwartaal**;;-/-155;-0,07%
G Handel;232125;;
Perioden: 2019 3e kwartaal**;;940;0,40%
G Handel;233065;;
Perioden: 2019 4e kwartaal**;;4520;1,94%
G Handel;237585;;
