"Bedrijven; bedrijfstak"
"Perioden: 2007 2e kwartaal"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1012210";"641795";"159225";"82530";"60370";"32790";"20295";"7165";"720725";"291490"
"Totaal (ex. financieel of nutsbedrijven)";"952020";"593680";"153835";"79705";"58590";"31885";"19775";"6960";"712370";"239650"
"A Landbouw, bosbouw en visserij";"73025";"21640";"32420";"11780";"4345";"1905";"750";"130";"65625";"7405"
"B-E Nijverheid (geen bouw) en energie";"50835";"24925";"6380";"4450";"5105";"3965";"3190";"1340";"31035";"19800"
"B Delfstoffenwinning";"325";"175";"20";"20";"30";"20";"25";"10";"85";"245"
"C Industrie";"48780";"23940";"6160";"4285";"4935";"3805";"3030";"1275";"30335";"18445"
"D Energievoorziening";"575";"350";"100";"40";"20";"10";"10";"10";"290";"285"
"E Waterbedrijven en afvalbeheer";"1155";"460";"95";"100";"120";"135";"125";"45";"325";"825"
"F Bouwnijverheid";"106135";"75020";"12195";"6435";"5580";"3655";"2180";"615";"87585";"18550"
"G-I Handel, vervoer en horeca";"265775";"135450";"52435";"31320";"24215";"11950";"6865";"2035";"199875";"65900"
"G Handel";"193970";"104960";"35925";"21890";"16275";"7865";"4710";"1345";"142500";"51470"
"H Vervoer en opslag";"28625";"14765";"5325";"2470";"2335";"1610";"1230";"500";"20510";"8115"
"I Horeca";"43180";"15725";"11185";"6955";"5610";"2475";"930";"190";"36870";"6310"
"J Informatie en communicatie";"44965";"33920";"4845";"2075";"1650";"1140";"805";"270";"32385";"12580"
"K Financiële dienstverlening";"58420";"47285";"5190";"2680";"1630";"765";"380";"150";"7715";"50705"
"L Verhuur en handel van onroerend goed";"24600";"16015";"5035";"1755";"915";"415";"250";"120";"12725";"11880"
"M-N Zakelijke dienstverlening";"206320";"154115";"21585";"10765";"8660";"5340";"3465";"1245";"144800";"61515"
"M Specialistische zakelijke diensten";"167220";"130990";"16410";"7620";"5865";"3430";"1855";"560";"116380";"50840"
"N Verhuur en overige zakelijke diensten";"39100";"23125";"5175";"3140";"2795";"1910";"1605";"685";"28425";"10680"
"O-Q Overheid en zorg";"70475";"44035";"9065";"5905";"4500";"2050";"1475";"980";"52995";"17480"
"O Openbaar bestuur en overheidsdiensten";"785";"90";"10";"5";"15";"20";"55";"120";"25";"760"
"P Onderwijs";"26390";"20495";"2285";"715";"595";"515";"545";"360";"21805";"4585"
"Q Gezondheids- en welzijnszorg";"43300";"23450";"6770";"5185";"3885";"1510";"875";"500";"31165";"12135"
"R-U Cultuur, recreatie, overige diensten";"111660";"89395";"10085";"5370";"3775";"1605";"940";"270";"85980";"25675"
"R Cultuur, sport en recreatie";"48285";"39135";"4380";"1870";"1425";"755";"500";"130";"35545";"12745"
"S Overige dienstverlening";"63325";"50240";"5700";"3500";"2340";"850";"435";"140";"50415";"12910"
"T Huishoudens";"15";"10";"5";"0";"0";"0";"0";"0";"15";"0"
"U Extraterritoriale organisaties";"30";"10";"5";"5";"10";"5";"0";"0";"5";"25"
"Bron: CBS"
