"Bedrijven; bedrijfstak"
"Perioden: 2019 1e kwartaal**"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 werkzame personen";"Bedrijfsgrootte|3 tot 5 werkzame personen";"Bedrijfsgrootte|5 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 20 werkzame personen";"Bedrijfsgrootte|20 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 100 werkzame personen";"Rechtsvorm|Natuurlijke personen";"Rechtsvorm|Rechtspersonen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"1754580";"1349770";"183300";"88690";"64990";"32760";"20155";"7060";"1344815";"409765"
"Totaal (ex. financieel of nutsbedrijven)";"1658410";"1265265";"177060";"86465";"63400";"31995";"19725";"6890";"1336315";"322095"
"A Landbouw, bosbouw en visserij";"74330";"36590";"21360";"10830";"3440";"1285";"650";"115";"67885";"6445"
"B-E Nijverheid (geen bouw) en energie";"70245";"44635";"7485";"4440";"4770";"3490";"2780";"1265";"47025";"23225"
"B Delfstoffenwinning";"440";"300";"30";"20";"15";"20";"15";"15";"180";"260"
"C Industrie";"66645";"42215";"7190";"4215";"4570";"3350";"2650";"1190";"45480";"21160"
"D Energievoorziening";"1260";"915";"140";"75";"45";"25";"20";"10";"400";"860"
"E Waterbedrijven en afvalbeheer";"1905";"1205";"125";"125";"145";"100";"95";"50";"965";"940"
"F Bouwnijverheid";"178385";"147810";"14645";"5895";"4810";"2700";"1655";"515";"156780";"21605"
"G-I Handel, vervoer en horeca";"334815";"193720";"59480";"32660";"25650";"12270";"7105";"2160";"254725";"80090"
"G Handel";"232280";"140190";"40085";"21815";"15895";"7215";"4530";"1440";"172070";"60210"
"H Vervoer en opslag";"44545";"29275";"6485";"2845";"2285";"1495";"1235";"445";"34790";"9755"
"I Horeca";"57995";"24260";"12910";"8000";"7465";"3560";"1345";"275";"47865";"10130"
"J Informatie en communicatie";"93595";"76650";"7935";"2980";"2530";"1635";"1150";"395";"70230";"23370"
"K Financiële dienstverlening";"92850";"82330";"5960";"2000";"1370";"620";"300";"105";"7120";"85735"
"L Verhuur en handel van onroerend goed";"27280";"19355";"4150";"2055";"945";"375";"225";"95";"12125";"15155"
"M-N Zakelijke dienstverlening";"422615";"355505";"32390";"12510";"10245";"5590";"3630";"1350";"327490";"95125"
"M Specialistische zakelijke diensten";"347670";"301330";"24190";"8655";"6925";"3620";"1900";"580";"269540";"78130"
"N Verhuur en overige zakelijke diensten";"74945";"54175";"8200";"3855";"3315";"1965";"1735";"770";"57950";"16995"
"O-Q Overheid en zorg";"245715";"206725";"15590";"8440";"7110";"3195";"1735";"765";"218600";"27115"
"O Openbaar bestuur en overheidsdiensten";"835";"200";"5";"10";"35";"40";"35";"85";"110";"725"
"P Onderwijs";"87545";"77930";"5550";"1290";"735";"565";"440";"265";"81275";"6270"
"Q Gezondheids- en welzijnszorg";"157340";"128595";"10035";"7135";"6340";"2590";"1260";"415";"137210";"20125"
"R-U Cultuur, recreatie, overige diensten";"214740";"186445";"14305";"6880";"4115";"1595";"915";"285";"182840";"31900"
"R Cultuur, sport en recreatie";"108480";"96020";"6710";"2625";"1625";"755";"515";"135";"92745";"15735"
"S Overige dienstverlening";"106105";"90380";"7580";"4235";"2460";"825";"390";"150";"90080";"16025"
"T Huishoudens";"20";"15";"0";"0";"0";"0";"0";"0";"15";"5"
"U Extraterritoriale organisaties";"135";"30";"15";"25";"30";"20";"10";"0";"0";"135"
"Bron: CBS"
